idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
1,0.30635172,0.0,0,0,0.34254003
5,0.2426076,0.0,0,0,0.34254003
9,0.9988024,1.0,1,1,0.34254003
10,0.28192347,0.0,0,0,0.34254003
14,0.0039391154,0.0,0,0,0.34254003
15,0.16561304,0.0,0,0,0.34254003
16,0.009351591,0.0,0,0,0.34254003
18,0.0013414633,0.0,0,0,0.34254003
30,0.02481473,0.0,0,0,0.34254003
31,0.00062455185,0.0,0,0,0.34254003
39,6.052706e-05,0.0,0,0,0.34254003
43,0.0015111371,0.0,0,0,0.34254003
48,1.1628742e-06,0.0,0,0,0.34254003
50,0.005628482,0.0,0,0,0.34254003
54,0.07908702,0.0,0,0,0.34254003
62,0.9543088,1.0,1,1,0.34254003
64,0.00028002055,0.0,0,0,0.34254003
69,0.0013271903,0.0,0,0,0.34254003
82,0.0042462237,0.0,0,0,0.34254003
89,6.811726e-08,0.0,0,0,0.34254003
99,0.24399342,1.0,0,0,0.34254003
108,0.00087162474,0.0,0,0,0.34254003
109,0.87546223,1.0,1,1,0.34254003
115,0.00011520176,0.0,0,0,0.34254003
122,0.3097143,0.0,0,0,0.34254003
130,0.5560954,0.0,1,1,0.34254003
135,0.057804726,0.0,0,0,0.34254003
136,1.3951312e-05,0.0,0,0,0.34254003
143,0.12182534,0.0,0,0,0.34254003
145,0.9841241,1.0,1,1,0.34254003
147,0.6933357,0.0,1,1,0.34254003
155,0.005412354,0.0,0,0,0.34254003
156,0.025160186,0.0,0,0,0.34254003
161,0.04841457,0.0,0,0,0.34254003
163,2.6412092e-05,0.0,0,0,0.34254003
184,0.0021713586,0.0,0,0,0.34254003
185,0.07973557,0.0,0,0,0.34254003
187,0.05857174,0.0,0,0,0.34254003
188,0.61713034,1.0,1,1,0.34254003
190,0.00024837189,0.0,0,0,0.34254003
192,0.0029858325,0.0,0,0,0.34254003
194,0.04961539,0.0,0,0,0.34254003
195,0.0060395566,1.0,0,0,0.34254003
198,0.14404772,0.0,0,0,0.34254003
199,0.30292007,1.0,0,0,0.34254003
200,0.0010543524,0.0,0,0,0.34254003
